"route_uniq","quad_poly_id"
"C840S34R016",164
"C840S34R017",164
"C840S34R018",164
"C840S34R019",191
"C840S34R020",191
"C840S34R021",192
"C840S34R022",191
"C840S34R023",192
"C840S34R024",192
"C840S34R025",192
"C840S34R026",192
"C840S34R027",192
"C840S34R028",192
"C840S34R029",193
"C840S34R030",193
"C840S34R031",193
"C840S34R032",193
"C840S34R033",193
"C840S34R034",193
"C840S34R035",220
"C840S34R036",192
"C840S34R037",221
"C840S34R038",221
"C840S34R039",221
"C840S34R040",221
"C840S34R041",221
"C840S34R042",222
"C840S34R043",221
"C840S34R044",193
"C840S34R045",222
"C840S34R046",222
"C840S34R047",222
"C840S34R048",222
"C840S34R049",249
"C840S34R050",249
"C840S34R051",221
"C840S34R052",221
"C840S34R053",250
"C840S34R054",250
"C840S34R055",250
"C840S34R056",222
"C840S34R057",222
"C840S34R058",222
"C840S34R059",250
"C840S34R060",249
"C840S34R061",250
"C840S34R062",250
"C840S34R063",278
"C840S34R064",222
"C840S34R065",163
"C840S34R066",164
"C840S34R067",163
"C840S34R068",163
"C840S34R069",164
"C840S34R070",191
"C840S34R071",192
"C840S34R072",192
"C840S34R073",193
"C840S34R074",221
"C840S34R075",221
"C840S34R076",222
"C840S34R077",222
"C840S34R078",249
"C840S34R079",250
"C840S34R080",250
"C840S34R081",250
"C840S34R082",164
"C840S34R104",164
"C840S34R135",220
"C840S34R301",163
"C840S34R302",163
"C840S34R303",164
"C840S34R304",192
"C840S34R305",163
"C840S34R306",164
"C840S34R307",192
"C840S34R308",193
"C840S34R309",193
"C840S34R310",193
"C840S34R311",191
"C840S34R312",221
"C840S34R313",193
"C840S34R314",193
"C840S34R315",222
"C840S34R316",221
"C840S34R317",222
"C840S34R318",250
"C840S34R319",250
"C840S34R900",192
"C840S35R001",164
"C840S35R002",165
"C840S35R003",165
"C840S35R004",165
"C840S35R005",165
"C840S35R006",165
"C840S35R007",166
"C840S35R008",165
"C840S35R009",166
"C840S35R010",193
"C840S35R011",194
"C840S35R012",194
"C840S35R013",194
"C840S35R014",194
"C840S35R015",194
"C840S35R016",195
"C840S35R017",195
"C840S35R018",194
"C840S35R019",194
"C840S35R020",195
"C840S35R021",223
"C840S35R022",223
"C840S35R023",223
"C840S35R024",223
"C840S35R025",194
"C840S35R026",223
"C840S35R027",223
"C840S35R028",195
"C840S35R029",224
"C840S35R030",223
"C840S35R031",224
"C840S35R032",223
"C840S35R033",223
"C840S35R034",251
"C840S35R035",223
"C840S35R036",223
"C840S35R037",223
"C840S35R038",223
"C840S35R039",251
"C840S35R040",224
"C840S35R041",224
"C840S35R042",251
"C840S35R101",165
"C840S35R103",165
"C840S35R108",165
"C840S35R115",194
"C840S35R117",195
"C840S35R201",165
"C840S35R301",164
"C840S35R302",165
"C840S35R303",165
"C840S35R304",166
"C840S35R305",194
"C840S35R306",194
"C840S35R307",195
"C840S35R308",195
"C840S35R309",194
"C840S35R310",194
"C840S35R311",195
"C840S35R312",195
"C840S35R313",223
"C840S35R314",223
"C840S35R315",224
"C840S35R316",251
"C840S35R410",194
"C840S35R900",223
"C840S35R901",165
"C840S35R903",193
"C840S36R001",191
"C840S36R002",190
"C840S36R003",190
"C840S36R004",189
"C840S36R005",189
"C840S36R006",163
"C840S36R007",162
"C840S36R008",162
"C840S36R009",162
"C840S36R010",162
"C840S36R011",161
"C840S36R012",161
"C840S36R013",161
"C840S36R014",161
"C840S36R015",160
"C840S36R016",189
"C840S36R017",163
"C840S36R018",162
"C840S36R019",162
"C840S36R020",162
"C840S36R021",162
"C840S36R022",130
"C840S36R023",161
"C840S36R024",160
"C840S36R025",161
"C840S36R026",160
"C840S36R027",160
"C840S36R028",159
"C840S36R029",131
"C840S36R030",131
"C840S36R031",130
"C840S36R032",130
"C840S36R033",129
"C840S36R034",129
"C840S36R105",189
"C840S36R108",162
"C840S36R118",162
"C840S36R123",161
"C840S36R131",130
"C840S38R001",274
"C840S38R002",246
"C840S38R003",246
"C840S38R004",245
"C840S38R005",246
"C840S38R006",273
"C840S38R007",273
"C840S38R008",244
"C840S38R009",244
"C840S38R010",272
"C840S38R011",271
"C840S38R012",243
"C840S38R013",218
"C840S38R014",218
"C840S38R015",246
"C840S38R016",217
"C840S38R017",245
"C840S38R018",217
"C840S38R019",217
"C840S38R020",244
"C840S38R021",245
"C840S38R022",244
"C840S38R023",216
"C840S38R024",214
"C840S38R025",215
"C840S38R026",218
"C840S38R027",218
"C840S38R028",217
"C840S38R029",218
"C840S38R030",217
"C840S38R031",217
"C840S38R032",216
"C840S38R033",216
"C840S38R034",216
"C840S38R035",216
"C840S38R036",215
"C840S38R037",243
"C840S38R038",214
"C840S38R105",274
"C840S38R118",217
"C840S38R133",216
"C840S38R301",274
"C840S38R302",246
"C840S38R303",245
"C840S38R304",245
"C840S38R305",244
"C840S38R306",244
"C840S38R307",243
"C840S38R308",243
"C840S38R309",246
"C840S38R310",246
"C840S38R311",245
"C840S38R312",245
"C840S38R313",216
"C840S38R314",244
"C840S38R315",243
"C840S38R316",243
"C840S38R317",218
"C840S38R318",217
"C840S38R319",217
"C840S38R320",216
"C840S38R321",216
"C840S38R322",215
"C840S38R323",214
"C840S38R420",216
"C840S39R001",281
"C840S39R002",278
"C840S39R003",278
"C840S39R004",278
"C840S39R005",279
"C840S39R006",251
"C840S39R007",279
"C840S39R008",280
"C840S39R009",280
"C840S39R010",280
"C840S39R011",280
"C840S39R012",278
"C840S39R013",254
"C840S39R014",253
"C840S39R015",253
"C840S39R016",253
"C840S39R017",253
"C840S39R018",253
"C840S39R019",253
"C840S39R020",252
"C840S39R021",252
"C840S39R022",252
"C840S39R023",252
"C840S39R024",252
"C840S39R025",252
"C840S39R026",252
