"route_uniq","fips","lat","lon","type"
"C840S14R061","06071",35.05388936,-116.78828212,"centroid"
"C840S14R062","06071",35.39045029,-115.32799361,"centroid"
"C840S14R063","06071",35.6503306,-117.3934881,"centroid"
"C840S14R063","06027",35.6503306,-117.3934881,"centroid"
"C840S14R064","06027",35.84500362,-116.10393021,"centroid"
"C840S14R065","06071",35.22864142,-116.09026889,"centroid"
"C840S14R066","06071",34.23025699,-116.78149174,"centroid"
"C840S14R067","06071",34.87531821,-115.36208132,"centroid"
"C840S14R068","06071",34.77052874,-115.64935357,"centroid"
"C840S14R069","06071",34.08246854,-115.33506086,"centroid"
"C840S14R069","06065",34.08246854,-115.33506086,"centroid"
"C840S14R070","06065",33.51294461,-115.85249033,"centroid"
"C840S14R071","06041",38.03948954,-122.71971381,"centroid"
"C840S14R072","06061",38.74667956,-121.14426615,"centroid"
"C840S14R072","06067",38.74667956,-121.14426615,"centroid"
"C840S14R073","06049",41.5362205,-120.61709933,"centroid"
"C840S14R074","06023",41.21910321,-123.88854133,"centroid"
"C840S14R075","06023",40.48458916,-124.22099128,"centroid"
"C840S14R076","06035",40.90125007,-120.2394266,"centroid"
"C840S14R077","06089",40.91481364,-122.20573917,"centroid"
"C840S14R078","06063",39.83241888,-120.74839025,"centroid"
